GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CourseworkGradingSystem,org.sustech.orion.service.listener,SubmissionListener,32,3,0,0,11,1,1,1,1,1
CourseworkGradingSystem,org.sustech.orion.AI.ocr_utils,HttpUtil,136,0,6,0,35,0,8,0,5,0
CourseworkGradingSystem,org.sustech.orion.AI.ocr_utils,FileUtil,131,0,12,0,32,0,9,0,3,0
CourseworkGradingSystem,org.sustech.orion.AI.ocr_utils,GsonUtils,23,0,0,0,5,0,5,0,5,0
CourseworkGradingSystem,org.sustech.orion.AI.ocr_utils,Base64Util,441,0,17,0,33,0,13,0,3,0
CourseworkGradingSystem,org.sustech.orion.service,OCRService,126,3,22,0,29,1,13,1,2,1
CourseworkGradingSystem,org.sustech.orion.service,AIGradingService,152,185,31,17,37,47,23,11,1,9
CourseworkGradingSystem,org.sustech.orion.service,PlagiarismService,364,3,52,0,81,1,35,1,9,1
CourseworkGradingSystem,org.sustech.orion.controller.teachers,CodeAssignmentConfigController,41,0,2,0,10,0,4,0,3,0
CourseworkGradingSystem,org.sustech.orion.controller.teachers,TestcasesController,0,3,0,0,0,1,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.controller.teachers,ResourcesController,354,12,20,0,70,5,19,1,9,1
CourseworkGradingSystem,org.sustech.orion.controller.teachers,AssignmentController,680,18,50,0,138,7,39,1,14,1
CourseworkGradingSystem,org.sustech.orion.controller.teachers,PlagiarismChecksController,0,3,0,0,0,1,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.controller.teachers,AnnouncementsController,0,3,0,0,0,1,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.controller.teachers,GradeController,7,36,0,0,1,12,1,3,1,3
CourseworkGradingSystem,org.sustech.orion.controller.teachers,CourseController,165,76,11,1,30,18,14,3,8,3
CourseworkGradingSystem,org.sustech.orion.controller.teachers,SubmissionConfigController,28,6,0,0,6,3,4,1,4,1
CourseworkGradingSystem,org.sustech.orion.controller.teachers,NotificationController,70,9,4,0,17,4,4,1,2,1
CourseworkGradingSystem,org.sustech.orion.controller.teachers,SubmissionController,68,9,4,0,11,4,5,1,3,1
CourseworkGradingSystem,org.sustech.orion.AI,PromptBuilder,13,7,0,0,3,2,2,1,2,1
CourseworkGradingSystem,org.sustech.orion.AI,Model,69,52,5,1,18,16,6,3,3,3
CourseworkGradingSystem,org.sustech.orion.AI,test,14,0,0,0,5,0,2,0,2,0
CourseworkGradingSystem,org.sustech.orion.AI,OCR,79,0,2,0,26,0,4,0,3,0
CourseworkGradingSystem,org.sustech.orion.AI,FileReader,70,3,0,0,15,2,4,1,4,1
CourseworkGradingSystem,org.sustech.orion.util,SemesterUtil,25,22,6,2,5,4,6,1,2,1
CourseworkGradingSystem,org.sustech.orion.util,ConvertDTO,146,274,8,4,38,69,13,10,7,10
CourseworkGradingSystem,org.sustech.orion.util,CodeRunnerUtil.ApiCredential,0,9,0,0,0,4,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.util,CodeRunnerUtil,262,72,12,0,55,11,10,3,4,3
CourseworkGradingSystem,org.sustech.orion.util,JwtUtil,61,40,4,0,10,10,8,3,6,3
CourseworkGradingSystem,org.sustech.orion.util,FileSizeUtil,50,102,5,7,13,20,7,4,2,3
CourseworkGradingSystem,org.sustech.orion.dto.responseDTO,CourseBasicInfoResponseDTO,3,0,0,0,1,0,1,0,1,0
CourseworkGradingSystem,org.sustech.orion.dto.responseDTO,GradeResponseDTO,3,0,0,0,1,0,1,0,1,0
CourseworkGradingSystem,org.sustech.orion.dto.responseDTO,CourseItemResponseDTO,3,0,0,0,1,0,1,0,1,0
CourseworkGradingSystem,org.sustech.orion.dto.responseDTO,SubmissionResponseDTO,11,0,0,0,2,0,2,0,2,0
CourseworkGradingSystem,org.sustech.orion.dto.responseDTO,AssignmentResponseDTO,3,0,0,0,1,0,1,0,1,0
CourseworkGradingSystem,org.sustech.orion.dto.responseDTO,AssignmentAttachmentResponseDTO,27,0,2,0,9,0,2,0,1,0
CourseworkGradingSystem,org.sustech.orion.dto.responseDTO,GradeResponseDTO.GradeStatus,39,0,0,0,2,0,1,0,1,0
CourseworkGradingSystem,org.sustech.orion.dto.responseDTO,ResourceResponseDTO,3,0,0,0,1,0,1,0,1,0
CourseworkGradingSystem,org.sustech.orion.dto.responseDTO,AttachmentResponseDTO,3,0,0,0,1,0,1,0,1,0
CourseworkGradingSystem,org.sustech.orion.dto.responseDTO,TestCaseResponseDTO,34,0,2,0,12,0,3,0,2,0
CourseworkGradingSystem,org.sustech.orion.dto.responseDTO,TaskResponseDTO,3,0,0,0,1,0,1,0,1,0
CourseworkGradingSystem,org.sustech.orion.exception,GlobalExceptionHandler,0,11,0,0,0,2,0,2,0,2
CourseworkGradingSystem,org.sustech.orion.exception,ApiException,0,10,0,0,0,4,0,2,0,2
CourseworkGradingSystem,org.sustech.orion.model,Attachment.AttachmentType,0,15,0,0,0,2,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.model,Notification.Priority,0,32,0,0,0,7,0,2,0,2
CourseworkGradingSystem,org.sustech.orion.model,Submission.SubmissionStatus,0,31,0,0,0,5,0,2,0,2
CourseworkGradingSystem,org.sustech.orion.model,User,0,12,0,0,0,2,0,2,0,2
CourseworkGradingSystem,org.sustech.orion.model,User.Role,0,31,0,0,0,5,0,2,0,2
CourseworkGradingSystem,org.sustech.orion.model,SubmissionContent.ContentType,0,31,0,0,0,5,0,2,0,2
CourseworkGradingSystem,org.sustech.orion.model,Submission,0,16,0,0,0,3,0,2,0,2
CourseworkGradingSystem,org.sustech.orion.model,Calendar.EventType,0,21,0,0,0,4,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.model,Grade.Status,0,49,0,0,0,5,0,2,0,2
CourseworkGradingSystem,org.sustech.orion.model,Course,6,0,0,0,1,0,1,0,1,0
CourseworkGradingSystem,org.sustech.orion.model,Assignment,6,0,0,0,1,0,1,0,1,0
CourseworkGradingSystem,org.sustech.orion.model,CodeAssignmentConfig,0,11,0,0,0,5,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.dto.authDTO,PasswordResetRequest,3,0,0,0,1,0,1,0,1,0
CourseworkGradingSystem,org.sustech.orion.dto.authDTO,RegisterRequest,3,0,0,0,1,0,1,0,1,0
CourseworkGradingSystem,org.sustech.orion.dto.authDTO,LoginRequest,3,0,0,0,1,0,1,0,1,0
CourseworkGradingSystem,org.sustech.orion.service.impl,GradeServiceImpl,124,167,9,5,21,50,16,8,10,7
CourseworkGradingSystem,org.sustech.orion.service.impl,VerificationServiceImpl.VerificationCodeInfo,9,0,0,0,4,0,1,0,1,0
CourseworkGradingSystem,org.sustech.orion.service.impl,CodeServiceImpl,492,4,48,0,113,1,28,1,4,1
CourseworkGradingSystem,org.sustech.orion.service.impl,CodeAssignmentConfigServiceImpl,123,4,4,0,28,1,8,1,6,1
CourseworkGradingSystem,org.sustech.orion.service.impl,EmailServiceImpl,57,6,0,0,16,3,2,1,2,1
CourseworkGradingSystem,org.sustech.orion.service.impl,VerificationServiceImpl,81,8,10,0,12,2,9,1,4,1
CourseworkGradingSystem,org.sustech.orion.service.impl,AttachmentServiceImpl,171,6,12,0,36,3,12,1,6,1
CourseworkGradingSystem,org.sustech.orion.service.impl,SubmissionConfigServiceImpl,72,23,5,1,16,7,6,3,3,3
CourseworkGradingSystem,org.sustech.orion.service.impl,CourseServiceImpl,116,69,8,2,24,16,13,7,8,7
CourseworkGradingSystem,org.sustech.orion.service.impl,AssignmentServiceImpl,228,73,8,0,42,21,27,4,23,4
CourseworkGradingSystem,org.sustech.orion.service.impl,NotificationServiceImpl,25,92,1,2,7,28,4,8,3,7
CourseworkGradingSystem,org.sustech.orion.service.impl,ResourceServiceImpl,58,69,10,6,13,17,9,5,2,4
CourseworkGradingSystem,org.sustech.orion.service.impl,SubmissionServiceImpl,361,76,15,3,77,18,32,5,24,4
CourseworkGradingSystem,org.sustech.orion.service.impl,UserServiceImpl,207,108,16,12,46,26,17,10,8,5
CourseworkGradingSystem,org.sustech.orion.service.impl,CalendarServiceImpl,23,179,5,5,2,51,8,6,3,6
CourseworkGradingSystem,org.sustech.orion.filter,JwtAuthenticationFilter,46,26,8,2,9,11,5,2,0,2
CourseworkGradingSystem,org.sustech.orion.service.event,SubmissionCreatedEvent,10,0,0,0,4,0,2,0,2,0
CourseworkGradingSystem,org.sustech.orion.controller.students,GradeController,7,15,0,0,2,5,1,2,1,2
CourseworkGradingSystem,org.sustech.orion.controller.students,SubmissionController,326,57,26,2,72,16,22,3,8,3
CourseworkGradingSystem,org.sustech.orion.controller.students,AssignmentController,112,63,5,1,21,18,8,3,5,3
CourseworkGradingSystem,org.sustech.orion.controller.students,CourseController,120,27,4,0,21,7,9,3,7,3
CourseworkGradingSystem,org.sustech.orion.controller.students,NotificationsController,6,71,1,3,1,19,1,6,0,5
CourseworkGradingSystem,org.sustech.orion.controller.students,ResourcesController,90,51,6,2,17,12,6,3,2,3
CourseworkGradingSystem,org.sustech.orion.controller.admin,LogsController,0,3,0,0,0,1,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.controller.admin,CourseController,14,6,0,0,2,3,2,1,2,1
CourseworkGradingSystem,org.sustech.orion.controller.admin,RolesController,0,3,0,0,0,1,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.controller.admin,ConfigsController,0,3,0,0,0,1,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.controller.admin,AIController,0,3,0,0,0,1,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.controller.admin,AssignmentController,47,6,0,0,10,3,3,1,3,1
CourseworkGradingSystem,org.sustech.orion.controller.admin,UserController,0,6,0,0,0,3,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.controller.admin,StatsController,0,3,0,0,0,1,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.controller.admin,OtherController,0,3,0,0,0,1,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.controller.common,ProfileController,8,24,0,0,1,6,1,3,1,3
CourseworkGradingSystem,org.sustech.orion.controller.common,AttachmentController,142,6,0,0,35,3,6,1,6,1
CourseworkGradingSystem,org.sustech.orion.controller.common,OtherController,0,3,0,0,0,1,0,1,0,1
CourseworkGradingSystem,org.sustech.orion.controller.common,AssignmentController,34,6,0,0,7,3,4,1,4,1
CourseworkGradingSystem,org.sustech.orion.controller.common,CalendarController,10,66,1,1,2,18,1,5,0,5
CourseworkGradingSystem,org.sustech.orion.controller.common,AuthController,152,12,4,0,35,5,7,1,5,1
CourseworkGradingSystem,org.sustech.orion.controller,AIGradingController,6,31,0,2,2,9,0,4,0,3
CourseworkGradingSystem,org.sustech.orion.controller,CodeRunnerController,64,9,0,0,25,4,1,1,1,1
CourseworkGradingSystem,org.sustech.orion.controller,OCRController,22,3,0,0,6,1,1,1,1,1
CourseworkGradingSystem,org.sustech.orion.controller,PlagiarismController,44,3,0,0,12,1,3,1,3,1
CourseworkGradingSystem,org.sustech.orion,CourseworkGradingSystemApplication,5,3,0,0,2,1,1,1,1,1
